GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,AT5AA,AT5AB,AL8AA,AL8AB,AL8AC,AL8AD,AL8AE,AL8AF,AL8AG,AL8AH,AJ6AA,AJ6AB,AJ6AC,AJ6AD,AJ6AE,AJ6AF,AJ6AG,AJ6AH,AJ6AI,AJ6AJ,AJ6AK,AJ6AL,AJ6AM,AJ6AN,AJ6AO,AJ6AP,AJ6AQ,AJ6AR,AJ6AS,AJ6AT,AJ6AU,AJ6AV,AJ6AW,AJ6AX,AJ6AY,AJ6AZ,AJ6BA,AJ6BB,AJ6BC,AJ6BD,AT5AAM,AT5ABM,AL8AAM,AL8ABM,AL8ACM,AL8ADM,AL8AEM,AL8AFM,AL8AGM,AJ6AAM,AJ6ABM,AJ6ACM,AJ6ADM,AJ6AEM,AJ6AFM,AJ6AGM,AJ6AHM,AJ6AIM,AJ6AJM,AJ6AKM,AJ6ALM,AJ6AMM,AJ6ANM,AJ6AOM,AJ6APM,AJ6AQM,AJ6ARM,AJ6ASM,AJ6ATM,AJ6AUM,AJ6AVM,AJ6AWM,AJ6AXM,AJ6AYM,AJ6AZM,AJ6BAM,AJ6BBM,AJ6BCM
"G0100350","1970","Alabama","01","Conecuh","035","Conecuh",15618,27,14397,845,68,61,646,70,7,376,0,0,0,0,5,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100370","1970","Alabama","01","Coosa","037","Coosa",10649,13,10021,431,19,83,303,26,4,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100390","1970","Alabama","01","Covington","039","Covington",34035,44,30568,2469,146,165,2018,140,107,879,0,0,0,0,8,0,14,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100410","1970","Alabama","01","Crenshaw","041","Crenshaw",13140,48,12353,499,58,36,390,15,3,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100430","1970","Alabama","01","Cullman","043","Cullman",52359,86,45162,5565,452,1246,3578,289,118,1491,0,0,0,0,54,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100450","1970","Alabama","01","Dale","045","Dale",51913,1025,23574,24591,3393,5655,12055,3488,1478,2132,0,14,0,0,61,18,18,323,8,0,0,23,10,0,0,0,17,0,29,0,47,57,198,19,0,23,24,70,47,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100470","1970","Alabama","01","Dallas","047","Dallas",55037,259,44393,8048,1075,1291,5116,566,316,2300,0,27,0,0,18,17,19,78,6,0,12,0,0,0,0,0,6,0,0,0,0,0,26,7,0,0,0,29,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","1970","Alabama","01","DeKalb","049","De Kalb",41925,56,36865,3751,64,434,3121,132,17,1288,0,0,0,0,7,6,0,23,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","1970","Alabama","01","Elmore","051","Elmore",33475,60,29337,2382,151,447,1640,144,81,1679,0,6,0,8,0,0,12,7,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100530","1970","Alabama","01","Escambia","053","Escambia",34874,32,29281,4311,318,511,3337,145,85,1180,6,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","1970","Alabama","01","Etowah","055","Etowah",93898,246,81751,9828,482,1600,7289,457,163,2169,0,0,0,0,44,11,0,33,0,0,0,39,0,6,0,0,17,0,0,0,7,7,27,0,6,22,15,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100570","1970","Alabama","01","Fayette","057","Fayette",16234,18,14549,1200,66,301,805,28,6,470,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100590","1970","Alabama","01","Franklin","059","Franklin",23916,17,20568,2671,45,639,1922,65,14,661,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100610","1970","Alabama","01","Geneva","061","Geneva",21909,15,18300,2754,140,167,2324,123,42,783,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100630","1970","Alabama","01","Greene","063","Greene",10647,3,9803,521,48,92,353,28,17,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100650","1970","Alabama","01","Hale","065","Hale",15873,15,15010,413,17,59,309,28,12,436,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100670","1970","Alabama","01","Henry","067","Henry",13254,0,12040,691,41,42,599,9,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100690","1970","Alabama","01","Houston","069","Houston",56455,119,43176,10631,604,979,8641,407,239,2378,0,0,0,0,0,0,0,46,0,0,19,10,0,0,7,0,6,7,0,0,0,0,19,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100710","1970","Alabama","01","Jackson","071","Jackson",39141,61,31287,6617,117,725,5647,128,40,1197,0,0,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100730","1970","Alabama","01","Jefferson","073","Jefferson",640781,4210,524144,86183,6991,14020,61739,3433,1471,28926,13,133,11,5,545,54,91,426,60,25,295,465,0,58,44,13,98,17,70,167,41,89,390,42,74,114,13,405,238,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100750","1970","Alabama","01","Lamar","075","Lamar",14323,12,12527,1296,22,147,1092,35,8,485,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100770","1970","Alabama","01","Lauderdale","077","Lauderdale",67966,145,53499,12406,369,1882,9816,339,111,1870,0,6,0,0,19,0,4,44,0,0,0,0,0,0,0,0,0,0,7,0,0,6,32,0,0,0,0,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100790","1970","Alabama","01","Lawrence","079","Lawrence",27237,44,24990,1381,42,412,874,53,6,864,0,0,0,0,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","1970","Alabama","01","Lee","081","Lee",60817,451,43325,15044,1115,1804,11494,631,375,2036,6,0,0,0,55,0,5,78,0,6,0,0,0,34,0,0,0,0,8,0,65,0,66,0,13,13,0,58,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100830","1970","Alabama","01","Limestone","083","Limestone",41625,69,33934,6665,497,928,5056,184,97,935,0,0,0,0,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100850","1970","Alabama","01","Lowndes","085","Lowndes",12897,0,12139,418,0,62,335,21,14,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100870","1970","Alabama","01","Macon","087","Macon",24570,271,20121,3008,322,336,2299,51,29,1403,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,101,52,6,0,0,7,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","1970","Alabama","01","Madison","089","Madison",183839,2699,107723,67560,8284,13327,40866,5083,1907,6503,37,28,0,14,268,82,55,1124,19,11,37,85,0,33,30,27,41,7,30,12,31,83,202,23,42,30,48,185,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100910","1970","Alabama","01","Marengo","091","Marengo",23806,13,21100,1674,92,281,1273,28,4,1012,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
