"","long","lat","order","hole","piece","group","id"
"72",1752179.2033,467502.0882,72,FALSE,"1","42101000100.1","42101000100"
"73",1752183.1553,467439.2539,73,FALSE,"1","42101000100.1","42101000100"
"74",1752147.6687,467437.3076,74,FALSE,"1","42101000100.1","42101000100"
"75",1751281.3435,467792.1645,75,FALSE,"1","42101000200.1","42101000200"
"76",1751143.7765,467785.0266,76,FALSE,"1","42101000200.1","42101000200"
"77",1751008.933,467777.3501,77,FALSE,"1","42101000200.1","42101000200"
"78",1750933.1992,467773.4392,78,FALSE,"1","42101000200.1","42101000200"
"79",1750874.0166,467770.0042,79,FALSE,"1","42101000200.1","42101000200"
"80",1750739.0855,467763.1163,80,FALSE,"1","42101000200.1","42101000200"
"81",1750685.0178,467760.4783,81,FALSE,"1","42101000200.1","42101000200"
"82",1750639.5075,467758.3705,82,FALSE,"1","42101000200.1","42101000200"
"83",1750604.2469,467756.5957,83,FALSE,"1","42101000200.1","42101000200"
"84",1750469.682,467748.072,84,FALSE,"1","42101000200.1","42101000200"
"85",1750381.6911,467743.5009,85,FALSE,"1","42101000200.1","42101000200"
"86",1750291.0217,467738.1044,86,FALSE,"1","42101000200.1","42101000200"
"87",1750285.4888,467843.5182,87,FALSE,"1","42101000200.1","42101000200"
"88",1750279.9672,467945.3758,88,FALSE,"1","42101000200.1","42101000200"
"89",1750271.3586,468106.2401,89,FALSE,"1","42101000200.1","42101000200"
"90",1750270.7121,468114.591,90,FALSE,"1","42101000200.1","42101000200"
"91",1750269.8641,468126.5706,91,FALSE,"1","42101000200.1","42101000200"
"92",1750320.3796,468129.5627,92,FALSE,"1","42101000200.1","42101000200"
"93",1750334.6687,468130.4511,93,FALSE,"1","42101000200.1","42101000200"
"94",1750360.5781,468131.7482,94,FALSE,"1","42101000200.1","42101000200"
"95",1750402.775,468133.9201,95,FALSE,"1","42101000200.1","42101000200"
"96",1750446.343,468136.1683,96,FALSE,"1","42101000200.1","42101000200"
"97",1750572.0247,468142.4835,97,FALSE,"1","42101000200.1","42101000200"
"98",1750579.4829,468142.8831,98,FALSE,"1","42101000200.1","42101000200"
"99",1750584.0581,468142.9845,99,FALSE,"1","42101000200.1","42101000200"
"100",1750617.82,468144.081,100,FALSE,"1","42101000200.1","42101000200"
